,original_title,Foreign,History,Adventure,Movie,Comedy,Drama,Mystery,Fantasy,Action,Science,Documentary,Animation,Western,Horror,TV,Science Fiction,War,Crime,Family,Romance,Music,vote_average_1.0,vote_average_2.0,vote_average_3.0,vote_average_4.0,vote_average_5.0,vote_average_6.0,vote_average_7.0,vote_average_8.0,vote_average_9.0,vote_average_10.0
29,Skyfall,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
30,Spider-Man 2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
31,Iron Man 3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
32,Alice in Wonderland,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
33,X-Men: The Last Stand,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
34,Monsters University,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
35,Transformers: Revenge of the Fallen,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
36,Transformers: Age of Extinction,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
37,Oz: The Great and Powerful,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
38,The Amazing Spider-Man 2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
39,TRON: Legacy,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
40,Cars 2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
41,Green Lantern,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
42,Toy Story 3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
43,Terminator Salvation,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
44,Furious 7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
45,World War Z,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
46,X-Men: Days of Future Past,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
47,Star Trek Into Darkness,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
48,Jack the Giant Slayer,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
49,The Great Gatsby,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,True,False,False
50,Prince of Persia: The Sands of Time,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,True,False,False,False
51,Pacific Rim,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
52,Transformers: Dark of the Moon,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
53,Indiana Jones and the Kingdom of the Crystal Skull,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
54,The Good Dinosaur,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
55,Brave,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
56,Star Trek Beyond,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
57,WALL·E,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
58,Rush Hour 3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False
59,2012,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
60,A Christmas Carol,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
61,Jupiter Ascending,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
62,The Legend of Tarzan,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
64,X-Men: Apocalypse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
65,The Dark Knight,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,True,False
66,Up,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
67,Monsters vs Aliens,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
68,Iron Man,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
69,Hugo,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
70,Wild Wild West,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
71,The Mummy: Tomb of the Dragon Emperor,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
72,Suicide Squad,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,False,False,False,False,False,True,False,False,False,False
73,Evan Almighty,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
74,Edge of Tomorrow,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
75,Waterworld,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
76,G.I. Joe: The Rise of Cobra,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
77,Inside Out,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
78,The Jungle Book,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
79,Iron Man 2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
80,Snow White and the Huntsman,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
81,Maleficent,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,False,False,False,False,False,False,True,False,False,False
82,Dawn of the Planet of the Apes,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
83,The Lovers,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,False,False,False,False,True,False,False,False,False,False
84,47 Ronin,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
85,Captain America: The Winter Soldier,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
86,Shrek Forever After,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
87,Tomorrowland,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
88,Big Hero 6,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
89,Wreck-It Ralph,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
90,The Polar Express,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
91,Independence Day: Resurgence,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False
92,How to Train Your Dragon,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
93,Terminator 3: Rise of the Machines,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
94,Guardians of the Galaxy,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
95,Interstellar,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False
96,Inception,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False
97,シン・ゴジラ,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
98,The Hobbit: An Unexpected Journey,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
99,The Fast and the Furious,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False
100,The Curious Case of Benjamin Button,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,True,False,False
101,X-Men: First Class,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
102,The Hunger Games: Mockingjay - Part 2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
103,The Sorcerer's Apprentice,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
104,Poseidon,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
105,Alice Through the Looking Glass,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
106,Shrek the Third,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
107,Warcraft,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
108,Terminator Genisys,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
110,Pearl Harbor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,False,False,False,False,False,True,False,False,False
111,Transformers,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
112,Alexander,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False
113,Harry Potter and the Order of the Phoenix,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
114,Harry Potter and the Goblet of Fire,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
115,Hancock,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
116,I Am Legend,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
117,Charlie and the Chocolate Factory,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
118,Ratatouille,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
119,Batman Begins,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,False,False
120,Madagascar: Escape 2 Africa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
121,Night at the Museum: Battle of the Smithsonian,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
122,X-Men Origins: Wolverine,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
123,The Matrix Revolutions,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
124,Frozen,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
125,The Matrix Reloaded,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
126,Thor: The Dark World,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
127,Mad Max: Fury Road,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
128,Angels & Demons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
129,Thor,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
130,Bolt,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
131,G-Force,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
132,Wrath of the Titans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
133,Dark Shadows,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
134,Mission: Impossible - Rogue Nation,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
135,The Wolfman,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
136,Bee Movie,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
137,Kung Fu Panda 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
138,The Last Airbender,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,True,False,False,False,False,False
139,Mission: Impossible III,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
140,White House Down,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
141,Mars Needs Moms,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
142,Flushed Away,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
143,Pan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
144,Mr. Peabody & Sherman,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
145,Troy,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False
146,Madagascar 3: Europe's Most Wanted,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
147,Die Another Day,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
148,Ghostbusters,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
149,Armageddon,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
150,Men in Black II,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
151,Beowulf,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
152,Kung Fu Panda 3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
153,Mission: Impossible - Ghost Protocol,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
154,Rise of the Guardians,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
155,Fun with Dick and Jane,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
156,The Last Samurai,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False
157,Exodus: Gods and Kings,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
158,Star Trek,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
159,Spider-Man,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
160,How to Train Your Dragon 2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
161,Gods of Egypt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
162,Stealth,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False
163,Watchmen,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
164,Lethal Weapon 4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False
165,Hulk,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
166,G.I. Joe: Retaliation,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
167,Sahara,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
168,Final Fantasy: The Spirits Within,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
169,Captain America: The First Avenger,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
170,The World Is Not Enough,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
171,Master and Commander: The Far Side of the World,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
172,The Twilight Saga: Breaking Dawn - Part 2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,True,False,False,False
173,Happy Feet Two,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
174,The Incredible Hulk,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
175,The BFG,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False
176,The Revenant,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
177,Turbo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
178,Rango,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
179,Penguins of Madagascar,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
180,The Bourne Ultimatum,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
181,Kung Fu Panda,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
182,Ant-Man,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
